,Draw,Resign,Checkmate,Out of Time,Total Games
Amar Opening,0.0,7.0,3.0,4.0,14.0
Borg Defense,0.0,5.0,7.0,1.0,13.0
Slav Indian,0.0,5.0,0.0,1.0,6.0
Crab Opening,0.0,1.0,7.0,0.0,8.0
King's Pawn,0.0,8.0,2.0,8.0,18.0
Sodium Attack,0.0,2.0,2.0,0.0,4.0
Polish Defense,0.0,7.0,7.0,0.0,14.0
Old Indian,0.0,1.0,1.0,2.0,4.0
Lion Defense,0.0,3.0,2.0,0.0,5.0
Queen's Indian Accelerated,0.0,2.0,2.0,0.0,4.0
Mexican Defense,0.0,2.0,4.0,0.0,6.0
Ware Defense,0.0,6.0,6.0,0.0,12.0
Valencia Opening,0.0,1.0,0.0,0.0,1.0
Kangaroo Defense,0.0,2.0,4.0,0.0,6.0
Guatemala Defense,0.0,3.0,2.0,0.0,5.0
Czech Defense,0.0,3.0,0.0,1.0,4.0
King's Indian,0.0,3.0,0.0,0.0,3.0
Scotch Gambit,0.0,4.0,2.0,1.0,7.0
Canard Opening,0.0,3.0,1.0,0.0,4.0
Wade Defense,0.0,1.0,1.0,0.0,2.0
Rubinstein Opening,0.0,2.0,0.0,0.0,2.0
Semi-Bononi,0.0,1.0,2.0,0.0,3.0
Doery Defense,0.0,0.0,1.0,0.0,1.0
Lemming Defense,0.0,0.0,3.0,0.0,3.0
Australian Defense,0.0,0.0,1.0,0.0,1.0
Pterodactyl Defense,0.0,0.0,1.0,0.0,1.0
