,turns,winner
1141,107,White
1143,63,White
1145,55,White
1146,85,White
1148,55,White
1155,29,White
1157,61,White
1158,59,White
1159,9,White
1162,103,White
1166,41,White
1167,39,White
1170,66,White
1171,55,White
1172,65,White
1174,57,White
1176,57,White
1177,21,White
1179,49,White
1189,57,White
1191,99,White
1192,59,White
1194,69,White
1196,77,White
1199,75,White
1201,63,White
1202,67,White
1205,99,White
1209,59,White
1210,57,White
1212,115,White
1214,29,White
1215,33,White
1216,17,White
1217,19,White
1219,27,White
1221,75,White
1223,87,White
1224,29,White
1225,75,White
1228,73,White
1232,13,White
1234,55,White
1235,57,White
1236,97,White
1237,17,White
1238,23,White
1239,54,White
1244,29,White
1248,47,White
1249,37,White
1252,137,White
1253,81,White
1254,83,White
1255,53,White
1256,65,White
1258,55,White
1259,67,White
1261,33,White
1262,73,White
1268,51,White
1272,57,White
1273,19,White
1274,47,White
1276,17,White
1278,24,White
1279,7,White
1280,27,White
1283,85,White
1284,87,White
1285,45,White
1286,63,White
1288,39,White
1291,94,White
1292,29,White
1295,37,White
1297,6,White
1299,29,White
1301,50,White
1304,82,White
1305,18,White
1306,63,White
1309,35,White
1310,87,White
1313,29,White
1314,93,White
1315,57,White
1316,53,White
1318,51,White
1319,77,White
1320,21,White
1321,43,White
1322,81,White
1325,29,White
1328,59,White
1329,11,White
1332,41,White
1333,49,White
1334,45,White
1337,17,White
1341,29,White
1342,39,White
1343,7,White
1345,97,White
1346,14,White
1347,26,White
1349,11,White
1350,84,White
1351,9,White
1352,9,White
1353,33,White
1355,17,White
1356,73,White
1357,35,White
1359,27,White
1360,77,White
1361,31,White
1363,87,White
1364,43,White
1367,77,White
1370,31,White
1373,18,White
1374,137,White
1376,73,White
1383,55,White
1384,67,White
1389,47,White
1394,73,White
1396,79,White
1397,71,White
1399,75,White
1401,23,White
1409,27,White
1411,79,White
1412,49,White
1413,40,White
1415,41,White
1416,51,White
1418,113,White
1424,108,White
1425,55,White
1426,79,White
1429,51,White
1430,53,White
1431,53,White
1434,124,White
1435,125,White
1436,39,White
1439,30,White
1440,4,White
1442,53,White
1443,59,White
1447,39,White
1453,115,White
1454,52,White
1455,57,White
1456,105,White
1458,53,White
1459,91,White
1460,39,White
1462,50,White
1465,39,White
1468,45,White
1470,48,White
1473,41,White
1474,23,White
1476,67,White
1480,23,White
1483,57,White
1484,19,White
1486,35,White
1487,41,White
1488,75,White
1494,51,White
1497,129,White
1498,129,White
1505,57,White
1506,13,White
1508,63,White
1510,42,White
1511,50,White
1512,25,White
1519,39,White
1520,63,White
1522,15,White
1523,47,White
1524,44,White
1526,73,White
1529,41,White
1531,63,White
1536,73,White
1537,93,White
1539,33,White
1540,47,White
1541,23,White
1542,84,White
1543,6,White
1545,35,White
1547,61,White
1550,31,White
1551,49,White
1553,115,White
1554,59,White
1557,49,White
1558,45,White
1561,33,White
1562,69,White
1565,74,White
1568,39,White
1569,91,White
1570,53,White
1571,35,White
1574,111,White
1575,27,White
1578,25,White
1583,61,White
1584,63,White
1587,33,White
1588,17,White
1591,47,White
1592,25,White
1593,71,White
1594,57,White
1596,17,White
1597,51,White
1599,39,White
1600,49,White
1602,95,White
1603,45,White
1605,51,White
1606,43,White
1607,29,White
1609,53,White
1610,25,White
1613,83,White
1615,101,White
1616,37,White
1621,67,White
1625,64,White
1626,53,White
1627,71,White
1628,41,White
1629,77,White
1630,7,White
1631,7,White
1634,23,White
1639,32,White
1640,65,White
1644,73,White
1647,45,White
1648,117,White
1649,123,White
1650,45,White
1651,89,White
1652,73,White
1653,105,White
1655,61,White
1656,101,White
1658,79,White
1660,13,White
1661,21,White
1665,105,White
1667,47,White
1668,11,White
1670,13,White
1675,33,White
1677,30,White
1678,107,White
1681,19,White
1682,53,White
1688,39,White
1689,105,White
1691,39,White
1696,103,White
1697,79,White
1698,31,White
1699,25,White
1700,31,White
1703,87,White
1704,41,White
1708,97,White
1709,101,White
1713,43,White
1714,61,White
1715,41,White
1717,61,White
1719,33,White
1724,127,White
1725,103,White
1726,71,White
1727,61,White
1729,73,White
1732,72,White
1736,35,White
1737,29,White
1738,41,White
1739,95,White
1740,79,White
1746,75,White
1747,87,White
1748,111,White
1749,40,White
1751,109,White
1752,31,White
1757,63,White
1760,71,White
1762,123,White
1763,99,White
1765,57,White
1766,29,White
1767,45,White
1768,9,White
1771,67,White
1777,41,White
1780,93,White
1784,111,White
1788,77,White
1789,45,White
1793,89,White
1794,59,White
1795,113,White
1800,33,White
1801,63,White
1802,41,White
1803,69,White
1807,81,White
1808,31,White
1809,45,White
1810,19,White
1811,19,White
1815,13,White
1816,12,White
1817,25,White
1819,26,White
1821,49,White
1823,29,White
1824,137,White
1826,60,White
1830,113,White
1833,37,White
1839,31,White
1842,79,White
1843,29,White
1844,75,White
1846,39,White
1850,83,White
1851,45,White
1857,85,White
1862,51,White
1863,69,White
1866,63,White
1869,57,White
1870,24,White
1874,77,White
1878,79,White
1880,71,White
1882,38,White
1885,43,White
1886,91,White
1887,63,White
1888,77,White
1889,13,White
1891,23,White
1892,17,White
1894,33,White
1899,65,White
1901,69,White
1906,69,White
1910,111,White
1913,73,White
1915,77,White
1916,59,White
1920,67,White
1921,3,White
1922,77,White
1925,63,White
1926,47,White
1927,29,White
1928,41,White
1932,67,White
1939,13,White
1942,27,White
1943,49,White
1947,49,White
1948,37,White
1949,95,White
1950,17,White
1951,23,White
1954,41,White
1957,35,White
1958,9,White
1959,81,White
1960,55,White
1967,2,White
1969,5,White
1970,15,White
1973,69,White
1975,37,White
1978,2,White
1980,12,White
1982,73,White
1983,3,White
1989,61,White
1990,19,White
1992,34,White
1997,125,White
1999,31,White
2000,119,White
2003,54,White
2005,73,White
2007,13,White
2014,81,White
2015,9,White
2018,39,White
2019,60,White
2021,35,White
2023,19,White
2025,13,White
2030,15,White
2031,15,White
2035,39,White
2037,29,White
2047,33,White
2051,59,White
2053,35,White
2054,65,White
2055,59,White
2063,57,White
2064,21,White
2067,113,White
2070,75,White
2071,51,White
2073,47,White
2075,89,White
2077,51,White
2079,107,White
2080,49,White
2085,59,White
2086,43,White
2087,85,White
2088,60,White
2091,40,White
2095,41,White
2099,27,White
2100,39,White
2101,57,White
2107,97,White
2111,39,White
2112,39,White
2113,19,White
2115,23,White
2116,118,White
2118,55,White
2119,35,White
2121,11,White
2123,11,White
2124,117,White
2131,23,White
2132,59,White
2134,5,White
2136,41,White
2137,41,White
2138,89,White
2144,87,White
2146,127,White
2150,51,White
2151,57,White
2155,39,White
2156,63,White
2157,55,White
2159,87,White
2160,71,White
2161,64,White
2165,23,White
2168,63,White
2169,54,White
2173,21,White
2176,61,White
2177,21,White
2180,55,White
2181,57,White
2184,35,White
2185,43,White
2186,111,White
2187,49,White
2190,14,White
2191,19,White
2192,45,White
2193,109,White
2195,45,White
2197,61,White
2198,35,White
2200,79,White
2202,89,White
2203,25,White
2205,35,White
2206,30,White
2207,125,White
2208,137,White
2214,35,White
2216,41,White
2218,63,White
2221,57,White
2223,51,White
2226,45,White
2227,17,White
2228,29,White
2230,13,White
2232,33,White
2233,25,White
2235,97,White
2237,59,White
2239,67,White
2242,57,White
2244,55,White
2246,75,White
2248,55,White
2249,19,White
2250,33,White
2254,61,White
2255,46,White
2256,55,White
2257,103,White
2258,99,White
2263,35,White
2265,113,White
2267,57,White
2268,21,White
2271,73,White
2273,119,White
2275,37,White
2278,103,White
2281,111,White
2283,113,White
2286,77,White
2287,17,White
2288,39,White
2292,119,White
2293,29,White
2297,71,White
2298,77,White
2299,119,White
2300,53,White
2301,63,White
2302,31,White
2307,24,White
2308,65,White
2311,29,White
2313,27,White
2319,93,White
2322,75,White
2324,53,White
2326,71,White
2327,27,White
2328,77,White
2330,85,White
2332,53,White
2334,26,White
2335,52,White
2336,139,White
2340,23,White
2341,9,White
2342,43,White
2344,38,White
2345,23,White
2347,37,White
2348,19,White
2349,21,White
2352,19,White
2353,47,White
2357,29,White
2358,43,White
2359,35,White
2360,32,White
2361,85,White
2363,34,White
2365,25,White
2366,15,White
2367,41,White
2368,49,White
2369,68,White
2370,51,White
2372,45,White
2377,45,White
2379,25,White
2380,45,White
2388,63,White
2390,85,White
2391,65,White
2392,81,White
2395,75,White
2399,21,White
2401,43,White
2405,75,White
2407,41,White
2409,93,White
2411,57,White
2412,22,White
2413,73,White
2414,53,White
2416,95,White
2417,89,White
2420,73,White
2423,45,White
2424,47,White
2425,27,White
2426,67,White
2427,55,White
2428,29,White
2436,25,White
2441,81,White
2444,47,White
2448,57,White
2449,51,White
2451,19,White
2452,65,White
2453,45,White
2454,37,White
2455,37,White
2456,59,White
2458,63,White
2459,45,White
2462,31,White
2463,97,White
2464,7,White
2465,15,White
2467,9,White
2469,43,White
2470,53,White
2472,91,White
2473,49,White
2474,53,White
2475,17,White
2476,17,White
2479,59,White
2480,43,White
2482,55,White
2483,61,White
2484,8,White
2486,16,White
2488,79,White
2489,68,White
2490,17,White
2491,55,White
2492,47,White
2493,47,White
2495,71,White
2498,26,White
2501,135,White
2503,53,White
2504,29,White
2506,69,White
2508,87,White
2510,43,White
2512,49,White
2514,54,White
2515,49,White
2516,55,White
2517,59,White
2522,75,White
2523,131,White
2528,35,White
2529,81,White
2530,49,White
2531,79,White
2532,13,White
2533,105,White
2534,83,White
2536,77,White
2537,51,White
2538,55,White
2540,51,White
2544,63,White
2545,61,White
2547,87,White
2548,65,White
2549,73,White
2550,25,White
2553,107,White
2556,51,White
2559,37,White
2563,61,White
2570,59,White
2572,53,White
2573,27,White
2574,43,White
2577,53,White
2580,37,White
2583,11,White
2584,77,White
2586,37,White
2587,89,White
2589,30,White
2590,77,White
2591,89,White
2593,31,White
2594,101,White
2595,37,White
2597,107,White
2599,63,White
2600,44,White
2604,95,White
2606,49,White
2607,35,White
2609,89,White
2611,35,White
2612,21,White
2613,105,White
2615,21,White
2616,46,White
2618,63,White
2619,62,White
2621,33,White
2622,37,White
2623,43,White
2624,47,White
2625,63,White
2626,41,White
2629,31,White
2630,45,White
2631,60,White
2632,39,White
2640,59,White
2645,51,White
2646,69,White
2650,5,White
2651,105,White
2652,43,White
2653,33,White
2654,32,White
2655,131,White
2656,38,White
2657,75,White
2659,57,White
2660,33,White
2661,121,White
2664,43,White
2666,41,White
2667,23,White
2668,49,White
2669,61,White
2670,19,White
2671,27,White
2672,31,White
2674,91,White
2675,36,White
2677,31,White
2680,21,White
2681,7,White
2683,99,White
2686,47,White
2688,51,White
2689,69,White
2690,47,White
2691,63,White
2693,57,White
2695,41,White
2696,41,White
2698,85,White
2699,2,White
2701,12,White
2703,73,White
2704,3,White
2708,34,White
2710,35,White
2711,43,White
2715,65,White
2716,39,White
2718,61,White
2719,119,White
2720,49,White
2722,52,White
2723,16,White
2726,67,White
2727,7,White
2729,37,White
2730,81,White
2734,49,White
2735,119,White
2737,30,White
2739,95,White
2741,49,White
2742,3,White
2743,67,White
2747,41,White
2750,39,White
2751,25,White
2752,23,White
2754,43,White
2755,109,White
2756,45,White
2759,31,White
2761,45,White
2764,69,White
2773,65,White
2775,99,White
2776,83,White
2778,17,White
2780,23,White
2782,39,White
2784,35,White
2789,77,White
2790,14,White
2791,49,White
2792,101,White
2793,39,White
2794,47,White
2801,51,White
2803,61,White
2806,81,White
2808,41,White
2811,89,White
2814,25,White
2818,77,White
2819,73,White
2825,73,White
2829,39,White
2830,59,White
2832,45,White
2833,61,White
2835,107,White
2837,81,White
2842,47,White
2843,57,White
2845,89,White
2846,38,White
2849,97,White
2851,23,White
