,turns,winner
527,25,White
528,15,White
529,62,Black
530,59,White
531,51,White
532,22,Black
533,27,White
534,34,Black
535,79,White
536,73,White
537,74,Black
538,92,Black
539,26,Black
540,40,Black
541,77,White
542,58,Black
543,51,White
544,73,White
545,50,Black
546,52,Black
547,11,White
548,61,White
549,19,White
550,51,White
551,12,Black
553,27,White
554,86,Black
555,61,White
556,53,White
557,50,Black
558,16,White
559,110,Black
560,45,White
561,93,White
562,105,White
563,60,Black
564,58,Black
565,65,White
566,56,Black
567,64,Black
568,4,Black
569,58,Black
570,34,Black
571,101,White
572,35,Black
573,54,Black
574,116,Black
575,115,White
578,54,Black
579,37,White
580,81,White
581,45,White
583,88,Black
585,119,White
586,60,Black
587,34,Black
588,94,Black
589,122,Black
590,44,Black
591,26,Black
592,116,Black
593,31,White
594,133,White
595,65,White
596,62,Black
597,62,Black
598,42,Black
599,42,Black
601,31,White
602,46,Black
603,20,Black
604,73,White
605,35,White
606,71,White
607,46,White
608,52,Black
609,52,Black
610,70,Black
611,49,White
612,75,White
613,61,White
614,41,White
615,46,Black
616,53,White
617,52,Black
618,36,Black
619,64,Black
620,65,White
621,71,White
622,50,Black
623,54,Black
624,76,Black
625,61,White
626,53,White
627,24,Black
628,64,Black
629,51,White
630,71,White
631,49,White
632,34,Black
633,88,Black
635,11,White
636,86,Black
637,58,Black
638,50,Black
639,62,Black
640,39,White
641,49,White
642,43,White
643,84,Black
644,41,White
645,48,Black
646,48,Black
647,38,Black
648,41,White
649,28,Black
650,74,Black
651,29,White
652,45,White
653,61,White
654,19,White
655,48,Black
656,41,White
657,30,Black
658,55,White
659,72,Black
660,78,Black
661,34,Black
662,56,Black
663,49,White
664,72,Black
665,70,White
666,83,White
667,57,White
668,39,Black
669,56,Black
670,46,Black
671,31,White
672,66,Black
673,52,White
674,100,Black
675,10,Black
676,49,Black
677,100,Black
678,107,White
679,44,Black
680,27,White
681,72,Black
682,21,White
683,91,White
684,35,White
685,50,Black
686,56,Black
687,37,White
688,66,Black
689,40,White
690,32,Black
691,26,Black
692,89,White
693,65,Black
694,37,White
695,48,White
696,54,Black
697,43,White
698,60,Black
699,122,Black
700,49,White
701,56,Black
702,77,White
703,60,Black
704,33,White
705,83,White
706,102,Black
707,29,White
708,91,White
709,34,Black
710,59,Black
711,41,White
712,54,Black
713,43,White
714,34,Black
715,122,Black
716,51,White
717,62,Black
718,30,Black
719,79,White
720,32,Black
721,78,Black
722,82,Black
723,64,Black
724,59,Black
725,62,Black
726,104,Black
727,65,White
728,23,White
729,50,Black
730,58,Black
731,64,Black
732,56,Black
733,18,Black
734,43,White
735,24,Black
736,125,White
737,104,Black
738,29,White
739,48,Black
740,65,White
741,20,Black
742,38,Black
743,26,White
744,70,Black
745,35,White
746,23,White
747,76,Black
748,68,Black
749,4,White
750,30,Black
751,59,White
752,77,White
753,76,Black
754,34,White
755,53,Black
758,57,White
759,42,Black
760,48,Black
762,71,White
763,26,Black
764,32,Black
765,63,White
766,86,Black
767,99,White
768,36,Black
770,112,Black
771,39,White
772,28,Black
773,65,White
774,21,Black
775,98,Black
776,31,Black
777,68,Black
778,42,White
779,42,Black
780,59,White
781,80,Black
782,31,Black
783,107,White
784,18,Black
785,72,Black
786,45,White
787,66,Black
788,93,White
789,90,Black
790,23,White
791,118,Black
793,23,White
794,91,White
795,56,Black
796,71,White
797,48,Black
798,80,Black
799,33,White
800,84,Black
801,51,White
802,47,Black
803,74,Black
804,77,Black
805,54,Black
806,75,White
807,89,White
808,62,Black
809,49,White
810,67,White
811,73,White
812,43,White
813,70,Black
814,28,Black
815,16,Black
816,47,White
817,52,Black
818,43,White
819,78,Black
820,75,White
821,105,White
822,103,White
823,35,Black
824,45,White
826,108,Black
828,21,White
829,48,Black
831,31,White
832,66,Black
833,80,White
834,62,White
835,120,Black
836,38,White
837,61,White
838,28,Black
839,99,White
840,49,Black
841,44,Black
842,55,White
843,92,Black
844,27,White
845,98,Black
846,24,Black
847,4,Black
848,16,Black
849,85,White
850,70,Black
851,36,Black
853,61,White
854,66,Black
855,20,Black
856,49,White
857,42,Black
858,32,Black
859,70,Black
860,52,Black
861,18,Black
862,4,Black
863,54,Black
864,4,Black
865,5,White
866,26,Black
867,4,Black
869,100,Black
870,113,White
871,125,White
872,51,White
873,65,Black
874,29,White
875,26,Black
876,43,White
877,33,Black
878,54,Black
879,42,Black
880,61,White
881,38,Black
882,47,White
883,82,Black
884,47,White
885,34,Black
886,27,White
887,32,Black
888,90,Black
889,38,White
890,51,White
891,41,White
892,5,White
893,44,Black
894,33,White
895,41,White
896,28,White
897,62,Black
898,28,Black
899,61,Black
900,123,White
901,89,White
902,43,White
903,44,Black
904,20,White
905,55,Black
906,20,White
907,88,Black
908,96,Black
909,120,White
910,111,White
911,39,White
912,93,White
913,100,Black
914,54,Black
915,75,White
917,32,White
918,86,Black
919,50,Black
920,39,White
921,31,White
922,29,White
923,27,White
924,57,White
925,68,White
926,95,White
927,40,Black
928,27,White
929,78,Black
930,74,Black
931,4,Black
932,44,Black
933,45,Black
934,15,White
935,37,White
936,22,Black
937,58,Black
938,33,White
939,41,White
940,46,White
941,36,Black
942,55,White
943,49,White
944,78,Black
950,50,Black
951,40,Black
952,33,White
953,30,Black
954,53,White
959,41,Black
960,28,White
961,52,White
962,30,Black
963,62,Black
964,35,White
965,89,Black
966,119,White
967,21,White
968,65,White
969,50,Black
970,60,Black
971,73,White
972,42,Black
973,58,Black
974,38,Black
975,28,Black
976,26,Black
977,35,White
978,35,White
979,34,Black
980,38,Black
981,27,Black
982,80,Black
983,54,Black
984,65,White
985,55,Black
986,67,Black
987,78,Black
988,51,White
989,75,White
990,36,Black
991,58,Black
992,12,White
993,21,White
994,56,Black
995,24,Black
996,32,Black
997,66,Black
998,45,Black
999,50,White
1000,18,Black
1001,90,Black
1002,75,White
1003,34,Black
1004,70,Black
1005,24,Black
1006,18,Black
1007,36,Black
1008,99,White
1009,60,White
1010,77,White
1011,74,Black
1012,61,White
1013,15,White
1015,129,White
1016,25,White
1017,39,White
1018,62,Black
1019,19,Black
1020,83,White
1021,66,White
1022,89,White
1024,27,White
1025,76,White
1026,55,White
1027,65,White
1028,63,White
1029,64,Black
1030,69,White
1031,31,White
1032,15,White
1033,35,White
1034,107,White
1035,43,White
1036,72,Black
1037,63,Black
1038,34,Black
1039,51,Black
1040,60,Black
1041,26,Black
1042,70,Black
1043,24,Black
1044,124,Black
1045,39,White
1046,58,Black
1047,16,Black
1048,52,Black
1049,22,Black
1050,43,White
1051,27,White
1052,41,White
1053,30,Black
1054,125,White
1055,16,White
1056,53,White
1057,49,White
1058,59,White
1059,86,Black
1060,52,Black
1061,96,Black
1062,114,Black
1063,69,White
1064,40,Black
1065,72,White
1066,63,White
1068,92,Black
1069,64,Black
1070,90,Black
1071,70,Black
1072,68,Black
1073,63,White
1074,63,White
1075,75,White
1076,94,Black
1077,102,Black
1078,87,White
1079,90,Black
1081,33,White
1082,52,Black
1083,62,Black
1084,63,White
1085,132,Black
1086,55,White
1087,95,White
1088,59,White
1089,86,Black
1091,54,Black
1092,74,Black
1093,33,White
1095,85,White
1096,76,Black
1097,52,Black
1099,26,Black
1100,64,Black
1101,47,White
1102,103,White
1103,39,White
1104,50,Black
1105,19,Black
1106,30,Black
1107,35,White
1108,46,Black
1109,35,White
1110,32,Black
1111,52,Black
1112,132,Black
1113,38,Black
1114,86,Black
1115,43,White
1116,34,Black
1117,72,Black
1118,23,White
1119,78,Black
1120,45,White
1121,66,Black
1122,29,White
1124,80,Black
1125,121,White
1127,75,White
1128,36,White
1129,77,White
1130,33,White
1131,56,Black
1132,129,Black
1133,53,White
1134,22,White
1135,51,White
1136,37,White
1137,30,Black
1138,89,White
1139,73,White
1140,114,Black
1141,107,White
1142,92,Black
1143,63,White
1144,36,Black
1145,55,White
1146,85,White
1147,118,Black
1148,55,White
1150,78,Black
1151,40,Black
1153,68,Black
1154,48,Black
1155,29,White
1156,14,Black
1157,61,White
1158,59,White
1159,9,White
1160,80,Black
1161,81,Black
1162,103,White
1163,10,Black
1164,32,Black
1166,41,White
1167,39,White
1168,50,Black
1169,66,Black
1170,66,White
1171,55,White
1172,65,White
1173,72,Black
1174,57,White
1175,50,Black
1176,57,White
1177,21,White
1178,48,Black
1179,49,White
1180,68,Black
1181,40,Black
1182,9,Black
1183,36,Black
1184,98,Black
1185,56,Black
1187,132,Black
1188,48,Black
1189,57,White
1190,75,Black
1191,99,White
1192,59,White
1193,56,Black
1194,69,White
1195,70,Black
1196,77,White
1197,64,Black
1198,70,Black
1199,75,White
1201,63,White
1202,67,White
1203,40,Black
1204,80,Black
1205,99,White
1206,120,Black
1208,62,Black
1209,59,White
1210,57,White
1211,72,Black
1212,115,White
1213,70,Black
1214,29,White
1215,33,White
1216,17,White
1217,19,White
1218,100,Black
1219,27,White
1221,75,White
1222,44,Black
1223,87,White
1224,29,White
1225,75,White
1226,52,Black
1227,40,Black
1228,73,White
1229,64,Black
1230,52,Black
1231,26,Black
1232,13,White
1233,104,Black
1234,55,White
1235,57,White
1236,97,White
1237,17,White
1238,23,White
1239,54,White
1240,72,Black
1241,34,Black
1242,56,Black
1243,84,Black
1244,29,White
1245,19,Black
1247,110,Black
1248,47,White
1249,37,White
1251,54,Black
1252,137,White
1253,81,White
1254,83,White
1255,53,White
1256,65,White
1257,8,Black
1258,55,White
1259,67,White
1260,26,Black
1261,33,White
1262,73,White
1263,27,Black
1264,50,Black
1265,74,Black
1267,14,Black
1268,51,White
1269,24,Black
1270,94,Black
1271,24,Black
1272,57,White
1273,19,White
1274,47,White
1275,30,Black
1276,17,White
1277,18,Black
1278,24,White
1279,7,White
1280,27,White
1281,50,Black
1282,20,Black
1283,85,White
1284,87,White
1285,45,White
1286,63,White
1287,38,Black
1288,39,White
1289,8,Black
1290,90,Black
1291,94,White
1292,29,White
1293,98,Black
1294,74,Black
1295,37,White
1296,74,Black
1297,6,White
1298,94,Black
1299,29,White
1300,68,Black
1301,50,White
1302,38,Black
1303,28,Black
1304,82,White
1305,18,White
1306,63,White
1307,58,Black
1308,44,Black
