,turns,winner
953,30,Black
959,41,Black
962,30,Black
963,62,Black
965,89,Black
969,50,Black
970,60,Black
972,42,Black
973,58,Black
974,38,Black
975,28,Black
976,26,Black
979,34,Black
980,38,Black
981,27,Black
982,80,Black
983,54,Black
985,55,Black
986,67,Black
987,78,Black
990,36,Black
991,58,Black
994,56,Black
995,24,Black
996,32,Black
997,66,Black
998,45,Black
1000,18,Black
1001,90,Black
1003,34,Black
1004,70,Black
1005,24,Black
1006,18,Black
1007,36,Black
1011,74,Black
1018,62,Black
1019,19,Black
1029,64,Black
1036,72,Black
1037,63,Black
1038,34,Black
1039,51,Black
1040,60,Black
1041,26,Black
1042,70,Black
1043,24,Black
1044,124,Black
1046,58,Black
1047,16,Black
1048,52,Black
1049,22,Black
1053,30,Black
1059,86,Black
1060,52,Black
1061,96,Black
1062,114,Black
1064,40,Black
1068,92,Black
1069,64,Black
1070,90,Black
1071,70,Black
1072,68,Black
1076,94,Black
1077,102,Black
1079,90,Black
1082,52,Black
1083,62,Black
1085,132,Black
1089,86,Black
1091,54,Black
1092,74,Black
1096,76,Black
1097,52,Black
1099,26,Black
1100,64,Black
1104,50,Black
1105,19,Black
1106,30,Black
1108,46,Black
1110,32,Black
1111,52,Black
1112,132,Black
1113,38,Black
1114,86,Black
1116,34,Black
1117,72,Black
1119,78,Black
1121,66,Black
1124,80,Black
1131,56,Black
1132,129,Black
1137,30,Black
1140,114,Black
1142,92,Black
1144,36,Black
1147,118,Black
1150,78,Black
1151,40,Black
1153,68,Black
1154,48,Black
1156,14,Black
1160,80,Black
1161,81,Black
1163,10,Black
1164,32,Black
1168,50,Black
1169,66,Black
1173,72,Black
1175,50,Black
1178,48,Black
1180,68,Black
1181,40,Black
1182,9,Black
1183,36,Black
1184,98,Black
1185,56,Black
1187,132,Black
1188,48,Black
1190,75,Black
1193,56,Black
1195,70,Black
1197,64,Black
1198,70,Black
1203,40,Black
1204,80,Black
1206,120,Black
1208,62,Black
1211,72,Black
1213,70,Black
1218,100,Black
1222,44,Black
1226,52,Black
1227,40,Black
1229,64,Black
1230,52,Black
1231,26,Black
1233,104,Black
1240,72,Black
1241,34,Black
1242,56,Black
1243,84,Black
1245,19,Black
1247,110,Black
1251,54,Black
1257,8,Black
1260,26,Black
1263,27,Black
1264,50,Black
1265,74,Black
1267,14,Black
1269,24,Black
1270,94,Black
1271,24,Black
1275,30,Black
1277,18,Black
1281,50,Black
1282,20,Black
1287,38,Black
1289,8,Black
1290,90,Black
1293,98,Black
1294,74,Black
1296,74,Black
1298,94,Black
1300,68,Black
1302,38,Black
1303,28,Black
1307,58,Black
1308,44,Black
1311,64,Black
1312,36,Black
1317,42,Black
1323,94,Black
1324,92,Black
1326,78,Black
1330,66,Black
1331,58,Black
1335,110,Black
1338,98,Black
1339,68,Black
1340,52,Black
1344,32,Black
1348,38,Black
1354,56,Black
1358,30,Black
1362,30,Black
1365,60,Black
1366,36,Black
1368,56,Black
1369,44,Black
1371,54,Black
1372,40,Black
1375,38,Black
1378,124,Black
1379,76,Black
1380,50,Black
1381,48,Black
1382,76,Black
1386,98,Black
1387,48,Black
1388,86,Black
1390,104,Black
1395,26,Black
1398,102,Black
1402,34,Black
1403,78,Black
1404,69,Black
1405,74,Black
1406,56,Black
1407,78,Black
1408,74,Black
1410,60,Black
1414,56,Black
1417,60,Black
1420,50,Black
1421,114,Black
1422,42,Black
1423,54,Black
1427,44,Black
1428,66,Black
1432,60,Black
1433,17,Black
1437,42,Black
1438,38,Black
1441,50,Black
1446,88,Black
1449,29,Black
1450,68,Black
1451,62,Black
1452,58,Black
1457,56,Black
1461,64,Black
1463,27,Black
1464,56,Black
1466,62,Black
1467,58,Black
1469,48,Black
1471,26,Black
1472,32,Black
1475,48,Black
1477,32,Black
1478,7,Black
1479,24,Black
1481,20,Black
1482,122,Black
1485,98,Black
1489,122,Black
1490,8,Black
1491,90,Black
1492,46,Black
1493,29,Black
1496,94,Black
1499,38,Black
1500,68,Black
1501,56,Black
1502,88,Black
1503,86,Black
1507,82,Black
1509,40,Black
1513,88,Black
1514,62,Black
1515,48,Black
1516,30,Black
1517,110,Black
1518,60,Black
1521,40,Black
1525,86,Black
1527,80,Black
1530,94,Black
1532,80,Black
1534,116,Black
1535,130,Black
1538,94,Black
1544,88,Black
1546,78,Black
1549,78,Black
1552,82,Black
1555,82,Black
1556,22,Black
1559,10,Black
1560,88,Black
1563,84,Black
1564,70,Black
1567,62,Black
1572,52,Black
1573,66,Black
1576,19,Black
1577,27,Black
1579,102,Black
1580,60,Black
1581,62,Black
1585,50,Black
1586,26,Black
1589,32,Black
1590,92,Black
1598,24,Black
1601,40,Black
1604,64,Black
1608,23,Black
1611,78,Black
1612,52,Black
1617,106,Black
1618,56,Black
1619,124,Black
1620,32,Black
1622,42,Black
1623,78,Black
1624,100,Black
1632,4,Black
1633,18,Black
1635,12,Black
1636,60,Black
1637,54,Black
1638,28,Black
1641,33,Black
1642,104,Black
1645,106,Black
1646,40,Black
1654,8,Black
1657,96,Black
1659,16,Black
1663,46,Black
1664,110,Black
1666,66,Black
1669,62,Black
1671,132,Black
1672,112,Black
1673,20,Black
1674,128,Black
1679,48,Black
1680,6,Black
1683,63,Black
1684,42,Black
1690,80,Black
1692,90,Black
1693,41,Black
1694,69,Black
1695,21,Black
1701,140,Black
1705,80,Black
1706,90,Black
1707,47,Black
1710,108,Black
1711,132,Black
1712,94,Black
1716,64,Black
1718,58,Black
1720,54,Black
1721,60,Black
1723,57,Black
1728,60,Black
1730,80,Black
1731,108,Black
1733,100,Black
1735,98,Black
1741,46,Black
1742,81,Black
1743,69,Black
1744,76,Black
1745,108,Black
1750,60,Black
1753,60,Black
1754,52,Black
1755,87,Black
1756,26,Black
1759,80,Black
1764,114,Black
1769,102,Black
1770,114,Black
1772,128,Black
1773,12,Black
1774,52,Black
1776,22,Black
1778,50,Black
1779,60,Black
1781,92,Black
1782,56,Black
1783,122,Black
1785,68,Black
1786,42,Black
1787,26,Black
1791,52,Black
1792,98,Black
1796,62,Black
1797,58,Black
1798,12,Black
1799,84,Black
1804,92,Black
1805,20,Black
1806,16,Black
1813,124,Black
1814,2,Black
1818,46,Black
1820,24,Black
1822,40,Black
1827,44,Black
1828,34,Black
1829,40,Black
1832,90,Black
1834,44,Black
1835,34,Black
1836,34,Black
1838,45,Black
1840,102,Black
1841,32,Black
1845,66,Black
1847,44,Black
1848,38,Black
1849,48,Black
1854,82,Black
1855,100,Black
1858,54,Black
1859,80,Black
1861,100,Black
1864,106,Black
1865,58,Black
1867,48,Black
1868,64,Black
1872,54,Black
1873,66,Black
1876,32,Black
1877,39,Black
1879,84,Black
1883,66,Black
1884,59,Black
1890,62,Black
1893,44,Black
1895,30,Black
1896,46,Black
1897,42,Black
1898,90,Black
1900,76,Black
1902,48,Black
1903,66,Black
1904,72,Black
1905,62,Black
1907,70,Black
1908,56,Black
